City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Parana,AR,-31.732,-60.5238,86.13,30,0,3.89,clear sky
238,Aksu,CN,41.1231,80.2644,1.45,90,19,4.18,few clouds
239,Porto Belo,BR,-27.1578,-48.5531,76.15,85,41,6.8,moderate rain
240,Nantucket,US,41.2835,-70.0995,34.0,95,100,22.75,overcast clouds
241,Zhaotong,CN,27.3167,103.7167,25.14,86,89,3.02,overcast clouds
242,Norman Wells,CA,65.282,-126.8329,-3.66,98,100,2.68,overcast clouds
243,Road Town,VG,18.4167,-64.6167,77.63,70,59,20.11,broken clouds
244,Konstantinovka,RU,49.6167,127.9833,-26.82,93,100,4.03,overcast clouds
245,Vao,NC,-22.6667,167.4833,78.73,83,92,4.61,overcast clouds
246,Laukaa,RU,58.7372,29.8453,17.49,95,54,6.22,broken clouds
247,Atambua,ID,-9.1061,124.8925,75.88,79,99,2.71,overcast clouds
248,Cabadiangan,PH,9.7531,122.4739,75.97,93,100,7.29,overcast clouds
249,Ponta Do Sol,PT,32.6667,-17.1,61.72,66,7,8.61,clear sky
250,San,ML,13.3034,-4.8956,81.64,16,2,5.75,clear sky
251,Cornwall,CA,45.0181,-74.7281,30.58,91,98,8.01,overcast clouds
252,Shingu,JP,33.7333,135.9833,42.24,87,100,6.15,overcast clouds
253,Padang,ID,-0.9492,100.3543,71.65,93,100,4.81,overcast clouds
254,Tongliao,CN,43.6125,122.2653,-11.81,54,0,10.22,clear sky
255,Kruisfontein,ZA,-34.0033,24.7314,69.94,85,62,17.94,broken clouds
256,Madera,US,37.1666,-119.8343,54.52,80,5,1.99,clear sky
257,Rach Gia,VN,10.0167,105.0833,73.53,89,95,7.14,overcast clouds
258,San Quintin,MX,30.4833,-115.95,58.17,29,0,11.23,clear sky
259,Mokrous,RU,51.2333,47.5167,10.47,85,23,3.22,few clouds
260,Pangoa,PE,-12.1167,-73.0,71.83,97,93,2.84,light rain
261,Marawi,PH,7.9986,124.2928,67.96,96,100,1.61,overcast clouds
262,Kimbe,PG,-5.5502,150.1429,83.75,72,96,1.41,overcast clouds
263,Ellisras,ZA,-23.6649,27.7443,69.13,55,1,4.85,clear sky
264,Karpinsk,RU,59.7654,60.0085,18.97,80,63,8.75,broken clouds
265,Cidreira,BR,-30.1811,-50.2056,76.17,76,26,12.41,scattered clouds
266,Tuatapere,NZ,-46.1333,167.6833,59.79,53,25,4.12,scattered clouds
267,Kisangani,CD,0.5167,25.2,73.63,78,100,2.73,overcast clouds
268,Nouadhibou,MR,20.931,-17.0347,64.38,75,0,19.08,clear sky
269,Vilcun,CL,-38.65,-72.2333,72.61,49,0,7.47,clear sky
270,General Pico,AR,-35.6566,-63.7568,84.38,35,0,9.95,clear sky
271,Moshkovo,RU,55.3053,83.6104,8.73,96,99,8.59,overcast clouds
272,Antofagasta,CL,-23.65,-70.4,69.49,80,12,4.79,few clouds
273,Rocha,UY,-34.4833,-54.3333,65.07,68,0,5.23,clear sky
274,Waddan,LY,29.1614,16.139,52.23,29,0,7.05,clear sky
275,Tynda,RU,55.1667,124.7167,-28.89,94,100,3.53,overcast clouds
276,Cedar City,US,37.6775,-113.0619,24.4,68,83,11.03,broken clouds
277,Kavaratti,IN,10.5669,72.642,79.23,75,34,13.18,scattered clouds
278,Ust-Kuyga,RU,70.0167,135.6,-41.67,100,100,4.25,overcast clouds
279,Pacifica,US,37.6138,-122.4869,62.28,40,20,8.05,few clouds
280,Dalen,NL,52.6992,6.7556,37.51,92,98,4.0,overcast clouds
281,Adrar,MR,20.5022,-10.0711,65.48,15,0,9.19,clear sky
282,El Alto,PE,-4.2714,-81.2147,72.21,73,39,8.39,scattered clouds
283,Capreol,CA,46.706,-80.9225,28.54,89,99,10.2,overcast clouds
284,Dandong,CN,40.1292,124.3947,-4.47,55,1,14.61,clear sky
285,Acapulco,MX,16.8634,-99.8901,81.46,60,0,6.58,clear sky
286,Zhigansk,RU,66.7697,123.3711,-42.3,98,100,5.64,overcast clouds
287,Wagar,SD,16.1525,36.2032,72.95,68,29,12.53,scattered clouds
288,Ribeira Brava,PT,32.65,-17.0667,61.72,68,5,9.64,clear sky
289,Richards Bay,ZA,-28.783,32.0377,74.05,89,2,10.02,clear sky
290,Pangnirtung,CA,66.1451,-65.7125,-17.68,83,99,2.77,overcast clouds
291,Zlobin,HR,45.2924,14.6541,38.5,71,20,12.66,few clouds
292,Tuktoyaktuk,CA,69.4541,-133.0374,-12.17,95,100,7.56,overcast clouds
293,Rosetta,EG,31.4044,30.4164,60.6,75,0,10.6,clear sky
294,Selikhino,RU,50.3672,137.4996,-32.06,100,97,1.57,overcast clouds
295,Ancud,CL,-41.8697,-73.8203,57.58,96,79,18.3,moderate rain
296,Port Hardy,CA,50.6996,-127.4199,42.98,87,75,13.8,broken clouds
297,Boden,SE,65.8252,21.6886,30.2,89,100,7.49,overcast clouds
298,Yumen,CN,40.2833,97.2,-0.09,51,3,0.63,clear sky
299,Kinsale,IE,51.7075,-8.5306,45.77,100,100,2.3,fog
300,Hanting,CN,36.7708,119.2108,9.55,30,25,16.71,scattered clouds
301,Harper,LR,4.375,-7.7169,78.22,85,32,5.95,moderate rain
302,Havre-Saint-Pierre,CA,50.2334,-63.5986,22.64,84,93,11.36,overcast clouds
303,Gizo,SB,-8.103,156.8419,83.32,70,81,7.29,broken clouds
304,Lebu,CL,-37.6167,-73.65,65.79,83,15,7.85,few clouds
305,Bilibino,RU,68.0546,166.4372,-8.48,87,100,4.0,overcast clouds
306,Ostrovnoy,RU,68.0531,39.5131,25.05,89,100,27.0,overcast clouds
307,Manavalakurichi,IN,8.1333,77.3,75.56,82,100,5.39,overcast clouds
308,Jiwani,PK,25.05,61.7417,57.94,34,0,14.7,clear sky
309,Zhuhai,CN,22.2769,113.5678,56.98,67,40,27.63,scattered clouds
310,Mogadishu,SO,2.0371,45.3438,76.48,84,49,19.91,scattered clouds
311,Carnarvon,AU,-24.8667,113.6333,75.69,77,13,10.51,few clouds
312,Chernyshevskiy,RU,63.0128,112.4714,-28.61,94,100,6.44,overcast clouds
313,Khandyga,RU,62.6667,135.6,-45.33,96,100,1.16,overcast clouds
314,Puerto Carreno,CO,6.189,-67.4859,84.76,48,100,12.84,overcast clouds
315,Ihosy,MG,-22.4,46.1167,67.77,98,100,8.05,overcast clouds
316,Namikupa,TZ,-10.8333,39.6,69.58,97,100,5.1,overcast clouds
317,Solwezi,ZM,-12.1688,26.3894,61.03,97,100,5.97,overcast clouds
318,Cayenne,GF,4.9333,-52.3333,77.04,78,75,2.3,broken clouds
319,Ojinaga,MX,29.5667,-104.4167,73.58,23,0,14.97,clear sky
320,Lysva,RU,58.1086,57.8053,3.52,99,100,3.02,overcast clouds
321,Asyut,EG,27.181,31.1837,56.3,63,0,5.44,clear sky
322,Surt,LY,31.2089,16.5887,59.72,71,7,12.93,clear sky
323,Galesong,ID,-5.3166,119.3661,73.42,82,100,4.85,overcast clouds
324,Araguaina,BR,-7.1911,-48.2072,76.42,84,57,2.91,broken clouds
325,Kloulklubed,PW,7.0419,134.2556,77.5,81,93,15.03,overcast clouds
326,Merauke,ID,-8.4667,140.3333,78.24,90,100,15.03,overcast clouds
327,High Level,CA,58.5169,-117.136,18.55,96,99,2.37,overcast clouds
328,Ardesen,TR,41.1911,40.9875,50.11,81,9,3.87,clear sky
329,Canals,ES,38.9625,-0.5844,40.12,71,80,1.45,broken clouds
330,La Ronge,CA,55.1001,-105.2842,10.62,79,100,6.91,light snow
331,Hambantota,LK,6.1241,81.1185,75.85,85,99,12.46,overcast clouds
332,Vanimo,PG,-2.6741,141.3028,76.64,92,100,0.83,overcast clouds
333,Povenets,RU,62.8487,34.8262,8.38,99,96,7.09,overcast clouds
334,Aguililla,MX,18.7333,-102.7333,79.83,25,12,8.01,few clouds
335,Zhezkazgan,KZ,47.8043,67.7144,-0.42,85,0,8.95,clear sky
336,Samarai,PG,-10.6167,150.6667,83.68,75,78,13.78,broken clouds
337,Gambela,ET,8.25,34.5833,81.16,27,27,2.19,scattered clouds
338,Riyadh,SA,24.6877,46.7219,55.54,58,55,6.62,broken clouds
339,Balod,IN,20.73,81.2047,58.77,46,7,2.98,clear sky
340,Westport,US,41.1415,-73.3579,37.56,88,100,10.36,overcast clouds
341,Tomatlan,MX,19.9333,-105.25,79.74,56,39,8.7,scattered clouds
342,Cangzhou,CN,38.3167,116.8667,4.15,29,0,7.0,clear sky
343,Hithadhoo,MV,-0.6,73.0833,79.32,78,81,9.33,light rain
344,Baherden,TM,38.4362,57.4316,29.26,61,7,5.3,clear sky
345,Sola,VU,-13.8833,167.55,80.89,75,99,10.49,overcast clouds
346,Haines Junction,CA,60.7522,-137.5108,28.09,94,100,3.49,overcast clouds
