,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Pacific Grove,US,61.9,clear sky,36.6177,-121.9166,Lovers Point Inn
440,Kirksville,US,31.05,clear sky,40.1948,-92.5833,Budget Host-Village Inn
441,Minab,IR,56.41,few clouds,27.1467,57.0801,Bam campground
442,Odweyne,SO,64.17,overcast clouds,9.4092,45.064,Eng Hiirey House
443,Lexington,US,36.25,few clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
445,Lahijan,IR,40.86,scattered clouds,37.2061,50.0029,Abrishami Hotel
450,Capaci,IT,48.25,few clouds,38.1711,13.2393,Hotel Sirenetta
452,Ratnagiri,IN,67.14,scattered clouds,16.9833,73.3,Hotel Landmark
457,Naze,JP,56.21,light rain,28.3667,129.4833,Shishime Hotel
460,Coihaique,CL,57.81,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
464,Cache Creek,CA,32.92,overcast clouds,50.8101,-121.3246,Canadas Best Value Inn & Suites
469,Troy,US,33.44,overcast clouds,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
471,Macau,MO,57.0,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
473,Zaltan,LY,50.27,clear sky,32.947,11.8665,Fars Alfelale
478,Bam,IR,38.21,clear sky,29.106,58.357,Bam Tourist Hotel
481,Killybegs,IE,48.18,overcast clouds,54.6333,-8.45,Tara Hotel
482,Shelburne,CA,30.13,broken clouds,44.0787,-80.2041,The Retreat at the Farm
483,Gallup,US,32.76,overcast clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
485,Jibuti,DJ,66.49,broken clouds,11.5,42.5,Orchid Main Camp Goubet
487,Whitehorse,CA,32.09,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
492,Bilma,NE,69.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
496,Nipani,IN,65.84,clear sky,16.4,74.3833,Hotel New Shanti Priya
497,Jumla,NP,39.56,overcast clouds,29.2747,82.1838,Royal Garden Hotel
502,Chandbali,IN,65.41,few clouds,20.7833,86.7667,Sabitri Bhavan
504,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
506,Athens,GR,57.33,broken clouds,37.9795,23.7162,Safestay Athens
507,Paithan,IN,65.68,clear sky,19.4833,75.3833,Prakash lahase
509,Rorvik,NO,41.11,light rain,64.8621,11.2373,Kysthotellet Rørvik AS
510,Tupaciguara,BR,67.23,overcast clouds,-18.5922,-48.705,Hotel Tupaciguara
512,Abu Zabad,SD,67.96,scattered clouds,12.35,29.25,حامد محمد نور
515,Wajima,JP,37.74,light rain,37.4,136.9,Yashio
516,Thiers,FR,34.12,light snow,45.8333,3.5,Logis Hôtel Eliotel
520,Lata,PT,40.91,clear sky,40.1629,-8.3327,Terraços da Beira
526,Sur,OM,66.58,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
527,Mayo,US,43.21,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
528,Dalaba,GN,67.69,broken clouds,10.7,-12.25,Hôtel Tangama
529,Hammond,US,32.4,clear sky,41.5834,-87.5,"Courtyard by Marriott Chicago Southeast/Hammond, IN"
531,Zomba,MW,64.83,light rain,-15.386,35.3188,Trout Farm Campsite
536,Thornhill,GB,41.25,overcast clouds,55.2333,-3.7667,The Buccleuch & Queensberry Arms Hotel
537,Kyenjojo,UG,62.74,overcast clouds,0.6328,30.6214,"Rainbow Guest House, Kyenjonjo"
539,Praia Da Vitoria,PT,57.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
540,Necochea,AR,65.17,clear sky,-38.5473,-58.7368,Hotel Tres Arroyos
541,Bud,US,33.82,few clouds,39.447,-86.1758,Ted McQuinn Trust
543,Gavle,SE,33.93,overcast clouds,60.6745,17.1417,Scandic CH
552,Saint-Denis,FR,38.08,overcast clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
553,Stornoway,GB,49.96,overcast clouds,58.2093,-6.3865,Caladh Inn
555,Greenville,US,50.02,overcast clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
561,Ngunguru,NZ,68.86,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
568,Dodge City,US,40.21,clear sky,37.7528,-100.0171,Windsor Inn & Suites
570,Calahorra,ES,37.38,broken clouds,42.3051,-1.9652,Parador de Calahorra
573,Warrnambool,AU,66.79,broken clouds,-38.3833,142.4833,Lady Bay Resort
574,George,ZA,67.55,overcast clouds,-33.963,22.4617,Protea by Marriott Hotel George King George
576,Uberlandia,BR,67.03,moderate rain,-18.9186,-48.2772,Hotel Apollo
578,Puerto Penasco,MX,57.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
584,Falmouth,GB,38.3,clear sky,50.1544,-5.0711,The Falmouth Hotel
586,Dunedin,NZ,61.81,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
592,Margate,GB,41.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
595,Samur,RU,35.15,few clouds,41.8253,48.486,Samur
600,Abu Dhabi,AE,62.62,clear sky,24.4667,54.3667,Beach Rotana
604,Tezu,IN,55.89,overcast clouds,27.9167,96.1667,Circuit House
606,Doha,QA,64.38,clear sky,25.2867,51.5333,Mövenpick Doha
610,Golden,US,36.66,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
611,Liverpool,GB,42.3,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
612,Port Hawkesbury,CA,49.17,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
614,Rio Gallegos,AR,61.0,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
615,Sitka,US,44.49,mist,57.0531,-135.33,Westmark Sitka
619,Warangal,IN,62.94,broken clouds,18.0,79.5833,Sneha grand lodge
627,Haysville,US,45.25,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
628,Molfetta,IT,44.67,clear sky,41.2002,16.5975,Graziano Bufi - BUFI RESORT
631,West Wendover,US,34.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
634,Guhagar,IN,63.7,scattered clouds,17.4842,73.1929,Seawinds Hotel Guhagar
635,Harboore,DK,34.14,overcast clouds,56.6175,8.1807,Harboøre Hotel
636,Siniscola,IT,35.15,broken clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
640,Ha Giang,VN,56.12,overcast clouds,22.8333,104.9833,Truong Xuan Resort
641,Tuam,IE,47.23,overcast clouds,53.5167,-8.85,Ard Rí House Hotel
643,Shenjiamen,CN,36.68,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
645,Palestina,PS,52.93,clear sky,31.9216,35.2033,Grand Park Hotel
646,Tawang,IN,31.86,scattered clouds,27.5833,91.8667,Hotel Mount View
649,Calvinia,ZA,62.04,clear sky,-31.4707,19.776,Die Lemoenhuis
652,Teguise,ES,59.22,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
654,Deloraine,AU,66.36,clear sky,-41.5333,146.6667,Mountain View Country Inn
655,San Carlos De Bariloche,AR,66.24,clear sky,-41.1456,-71.3082,Hotel Patagonia
662,Turbat,PK,51.01,clear sky,26.0023,63.044,Mubashar Quarters
665,Victor Harbor,AU,66.0,few clouds,-35.5667,138.6167,McCracken Country Club
666,Ruteng,ID,63.39,broken clouds,-8.6136,120.4721,Hotel FX 72
667,West Odessa,US,53.69,broken clouds,31.8424,-102.4988,Hotel Amon Ra
669,Hyeres,FR,43.68,light rain,43.1167,6.1167,ibis budget Hyères Centre-Ville
670,Fukue,JP,38.88,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
672,Asosa,ET,66.97,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
673,Loudi,CN,36.88,scattered clouds,27.7344,111.9944,Till Bright Hotel
